# h Omegab Omegam As ns w wa
6.218667282652151629e-01 5.811563573497000035e-02 3.011205383599692142e-01 2.104802929401875660e-09 9.273489635360175898e-01 -7.993332580842141821e-01 -4.775188978583149724e-01
6.186925332689793278e-01 5.448093157196245984e-02 3.605312020182335209e-01 2.377295697227390598e-09 9.426357940184852957e-01 -9.041051952652640056e-01 4.157796786916594378e-01
6.400963218594313275e-01 4.030093300682090207e-02 3.936880153906908708e-01 2.013707603681950611e-09 9.181905890712336316e-01 -1.298138767516088476e+00 1.735486379497455101e-01
6.510631635325806466e-01 4.913300695425880382e-02 3.836749364712572219e-01 1.679079399198957852e-09 9.218232135908609459e-01 -1.051246512220652018e+00 -5.886459800029850697e-01
6.381440608957442695e-01 4.862723770934521128e-02 3.377731179898699754e-01 2.124092008971012043e-09 1.001604030617811780e+00 -1.156008020813568571e+00 5.535018752688758426e-01
7.351932327842762849e-01 5.803398866462279593e-02 3.184511581767051625e-01 1.691002726447694794e-09 9.610222923757330005e-01 -6.959165790637764637e-01 4.292433027324054073e-01
6.581359866664886482e-01 5.240695106193429820e-02 2.751855267511778003e-01 2.518673751114987669e-09 9.791685461466429485e-01 -1.193918887259131090e+00 -3.880161471785207317e-01
6.637404114233277364e-01 4.536284408493970743e-02 3.015573794288032294e-01 2.080216041533923126e-09 9.338295382348067442e-01 -1.016517129724226587e+00 -3.762680781105648409e-01
6.667556806416949922e-01 5.206560104527496041e-02 3.817098262832325783e-01 2.507245329451403562e-09 9.884951962425204686e-01 -6.734580321358702992e-01 -2.853966771407283054e-01
6.776841372924613527e-01 3.993095073457303412e-02 4.062947434440285499e-01 1.681774323080945743e-09 9.554173904676467322e-01 -8.829426427793714005e-01 -6.077284127870413721e-01
6.130950265552597145e-01 5.659170262772048043e-02 3.407589579413405900e-01 2.389083412817528413e-09 9.943405526017778939e-01 -1.141332313813230970e+00 -1.217005497873746567e-02
6.900354467946782089e-01 4.244697368485506744e-02 3.186727589841467645e-01 2.268840997930121244e-09 9.895879683194040988e-01 -1.196981205001555582e+00 -7.311083013971885203e-01
7.279853351316246668e-01 5.191709963377058590e-02 2.931467747025281456e-01 2.059157185841756283e-09 9.395027668775405294e-01 -8.110781432401360513e-01 -1.105395591120915677e-01
7.340113682838380615e-01 6.099778856275971106e-02 3.430582550173066347e-01 2.261394500533358585e-09 9.447942445827911540e-01 -1.242964094719197998e+00 3.898046226382465562e-01
6.214961825301822396e-01 4.746449790394485085e-02 3.086103907971335381e-01 2.056645730524784194e-09 9.236867970080837598e-01 -9.104140692152173919e-01 -6.897727354631638663e-01
6.820055605719399505e-01 4.638069546433959411e-02 2.759839230566889512e-01 2.218940302817458110e-09 9.947146917768219243e-01 -7.450212742986737080e-01 -6.159837596195713028e-01
6.308396188032228125e-01 4.442948356147621153e-02 2.950222147307698939e-01 1.939894562725540322e-09 9.578239588301159513e-01 -8.594796391683672265e-01 -6.427292008463904027e-01
6.889675582737682102e-01 4.331292186139593797e-02 2.575434640895847282e-01 2.472279881227466494e-09 9.313579233416969805e-01 -1.016215392309084864e+00 -2.795085064443828538e-01
6.061040380799100902e-01 4.169334011035248644e-02 2.815137122208613563e-01 2.032100979800282479e-09 9.923121237240168924e-01 -9.188315395280306497e-01 -4.865491712550755743e-01
6.124509098333993373e-01 4.318498475657469443e-02 3.831850963097705454e-01 2.449269879011214397e-09 9.620927430239412104e-01 -1.032992142582236816e+00 -6.743453341840004445e-01
6.805302985577743602e-01 4.837916166197327866e-02 3.615857086360176886e-01 2.252210084169479116e-09 9.869885125370539969e-01 -8.754348081208249699e-01 4.065693074342981994e-01
6.369164871303758524e-01 4.074152607770133161e-02 3.145135875242789369e-01 2.097986378116855211e-09 9.797924692103079369e-01 -1.080013622928249983e+00 -4.270681195373307037e-01
