# h Omegab Omegam As ns w wa
7.054464380040272875e-01 4.893934868653875003e-02 3.700696505592941388e-01 1.997037792794853701e-09 9.405829139633465896e-01 -1.207802100934830092e+00 3.312144182930678582e-01
6.541002555319872513e-01 3.903734181305813788e-02 3.844196402966931769e-01 1.804488750581163714e-09 9.963630748872220888e-01 -1.181418357935362318e+00 2.624818128237336179e-01
6.377087272935970663e-01 4.042408286889447727e-02 3.930500868631723876e-01 1.668403079361735257e-09 9.470468240069639387e-01 -6.876196885456890007e-01 -1.221940938452855674e-01
6.921057466625705201e-01 5.313874377733233262e-02 3.326491309171322741e-01 2.027093830058351572e-09 9.680629202802881750e-01 -1.035853000180051886e+00 -2.381010717767739759e-01
7.277663879119969925e-01 4.753551655170522999e-02 2.586030627558221218e-01 1.749575257908998925e-09 9.523775120404505135e-01 -1.327392658343214293e+00 -5.457830511541943430e-01
6.632956041936538538e-01 4.407440903987866476e-02 4.062753427000623807e-01 1.710689862903699885e-09 9.439375932992255525e-01 -7.822762691558546866e-01 -3.948257392674485167e-01
6.320681355663314571e-01 6.070710222863361094e-02 3.745096779167482737e-01 1.866735482902838400e-09 9.460586763159988255e-01 -8.140972243295302446e-01 4.087679812637829979e-01
7.314273155891205525e-01 5.766631576868356396e-02 2.637130887492690756e-01 2.295369017001598371e-09 9.760613134794319246e-01 -1.054618382011675681e+00 2.069355227151457033e-01
7.223346176578416822e-01 5.188329424047502525e-02 3.361067632914394032e-01 1.810930862199404982e-09 9.826525466842708223e-01 -1.062228804442742147e+00 -5.028689427924893929e-01
6.438270786396005363e-01 5.297637497660070971e-02 2.961182531413950603e-01 1.758746281323262254e-09 9.874708487725355477e-01 -1.157202920900126664e+00 3.400854548331622151e-01
7.328961924161849772e-01 5.666651412057684134e-02 3.518869144177826369e-01 2.516193360864417233e-09 9.291043338931699314e-01 -1.242376370321051970e+00 4.289813281510779230e-01
7.013815952464126369e-01 3.948792011026321797e-02 3.652477411255822815e-01 2.448573987008592039e-09 9.600545341882957828e-01 -9.149298763888212838e-01 2.905081619753189237e-01
7.044304539809831400e-01 4.539481877505732038e-02 2.624371905265812654e-01 2.387855480722559005e-09 9.447917520197317565e-01 -6.960043656579952831e-01 -2.345395482777463680e-01
6.950837131357398002e-01 5.630250466260734721e-02 3.927973941057484319e-01 1.839249309519761952e-09 9.451322888972967240e-01 -7.127687061580206818e-01 -1.733492968312025928e-01
6.071397188517737575e-01 3.930019639126087344e-02 3.717237397560835266e-01 1.661470704030241977e-09 9.428447563763652228e-01 -1.029634537668669969e+00 -3.807620877033227047e-01
6.595460550524907539e-01 5.652067660514614039e-02 3.607920638101301258e-01 1.961330339314680194e-09 9.884247579397764660e-01 -1.145163831466959437e+00 -1.486683127167097718e-01
6.312225759849732221e-01 4.346762537324853903e-02 2.769434975378847752e-01 1.971681959405228605e-09 9.396455142826304341e-01 -1.092857270147175264e+00 -6.637080018283675331e-01
6.076337520744793386e-01 4.800128787795988894e-02 2.504755813929984698e-01 2.050635341308374515e-09 9.878490914652902077e-01 -8.281145934048782520e-01 5.363792230848212217e-01
6.549107149644579629e-01 4.055126973321678679e-02 2.391136869693505362e-01 2.202702791383077907e-09 9.775363580572300481e-01 -9.403226287815256157e-01 2.448895642948600848e-01
7.161824835352047502e-01 4.141802122419921406e-02 2.611650539656139580e-01 1.889894628148414642e-09 9.717951192691822726e-01 -1.102050083309505712e+00 7.512096418836711198e-02
7.148805667292120747e-01 5.704829295545717216e-02 2.464231155299376474e-01 1.842470226664469390e-09 9.233679201543941728e-01 -1.244129326737859920e+00 -6.346584493958243867e-01
6.278422150957272407e-01 5.047180873150561992e-02 3.146382591248930161e-01 2.317845028842334471e-09 9.487358053686548720e-01 -1.111204939054906582e+00 1.200102131718520093e-01
7.230445819194118995e-01 5.465598341458893783e-02 2.813073452793486973e-01 1.829822995246473764e-09 9.702145025734917327e-01 -9.639212924129939575e-01 -1.882584141036547365e-02
6.062006934733625840e-01 4.875956165615023818e-02 2.487059709026083476e-01 2.314245620999172840e-09 9.750767031847999977e-01 -1.046680255304820228e+00 9.909518030746244932e-03
6.507954653673543310e-01 5.543010275463717412e-02 3.732021066946156762e-01 2.379307297683848887e-09 1.002438283362697247e+00 -8.490535157030232316e-01 2.058307726646272373e-01
6.717187372308479620e-01 5.952884204190133505e-02 2.589690708831698940e-01 1.941617515375666097e-09 9.281179014549436612e-01 -6.807254688511349405e-01 3.964654000177529891e-01
6.973642892403036919e-01 4.910174566535330937e-02 2.720567407267791005e-01 1.921979142358630150e-09 9.804967703431560766e-01 -6.896793274966059872e-01 -2.198710758895509043e-01
6.892553123095369605e-01 5.603427876287252196e-02 2.849286481659507597e-01 1.718079815930528588e-09 9.401708913451896077e-01 -1.272833429095628688e+00 4.258788886468258816e-01
6.954712796004629549e-01 5.117464973084778768e-02 2.656340833947182234e-01 2.079871547608705483e-09 9.391225754333182296e-01 -7.323951547501602599e-01 -4.438578451439140204e-01
6.154692329498887560e-01 4.735068773710191664e-02 3.028247016696257177e-01 2.489753777423875328e-09 9.813725315616419476e-01 -9.472868483104623927e-01 -7.272307558856697662e-01
6.211415026443245502e-01 5.558856494645333934e-02 2.752966436563233366e-01 2.034238547529851077e-09 9.307261519842406905e-01 -7.591136772340011385e-01 1.847558721815147909e-01
7.349047176487103483e-01 5.072743821030935296e-02 3.368370483146321259e-01 2.180407847312143248e-09 9.591401837843873679e-01 -1.108854030386043688e+00 -3.774948607164722580e-01
