# h Omegab Omegam As ns w wa
6.625458135064254961e-01 5.118512954371264023e-02 3.820524193445682393e-01 1.983420798628127994e-09 9.902845158282593818e-01 -8.450650714585649093e-01 3.770026824438941215e-01
6.890271827400908933e-01 5.820775156062238387e-02 2.705403926088772448e-01 1.757903178274334772e-09 9.720885726093745349e-01 -1.153508768028894016e+00 9.150124354872912757e-02
6.522572197697990015e-01 6.006677156778263138e-02 3.158924521982312550e-01 1.682415156523484805e-09 1.001805285064154116e+00 -1.035596002333539323e+00 7.517150186760301889e-02
6.507975834314031482e-01 3.910905975082430708e-02 3.239281759281650852e-01 1.805675316119173951e-09 9.448287181350186748e-01 -1.047779519264357972e+00 1.464276736967029535e-03
6.367498948779830581e-01 5.210238726723184083e-02 2.430656297326560245e-01 1.914126700020126203e-09 9.454484997699112991e-01 -1.294854781393255827e+00 -3.466623850119699979e-01
6.480434032120659937e-01 5.808837120849420776e-02 3.709728561694598525e-01 2.077046214643629676e-09 9.567559031999841590e-01 -1.078614294426667231e+00 -7.584634279379801614e-01
7.038272087859047677e-01 5.052458779367513531e-02 3.854464199213396558e-01 1.763329405155005464e-09 9.300465409455440646e-01 -1.314258638115222588e+00 -5.638808194994697764e-01
7.196929539745352544e-01 4.893279828153460770e-02 3.345804888942823796e-01 2.041449947771123998e-09 9.692261046455215023e-01 -8.320733443928812756e-01 -6.583146498561338600e-01
6.952492709912005964e-01 4.613720339470928078e-02 2.921853099793578767e-01 1.850007171422222201e-09 9.820114933643115940e-01 -9.917839414470592807e-01 -3.769722602981502302e-01
6.993627910688798854e-01 6.079261294799852972e-02 2.322872509758378279e-01 1.787194111919960664e-09 9.857720537712097997e-01 -9.132718681632231439e-01 3.739635151509477229e-01
7.140494830592244435e-01 5.406564255889213799e-02 2.825833009553610498e-01 1.915867565251810458e-09 9.945638236251523878e-01 -1.288830320571714205e+00 6.174033969224224094e-03
6.263351071668081804e-01 4.011764486423716192e-02 4.003148768027852133e-01 1.671848257661927547e-09 9.870455161676048306e-01 -7.320189231279887743e-01 -2.291110312284879713e-01
6.505712865988905191e-01 4.648106719084873356e-02 2.928803811614176800e-01 1.813362597151211512e-09 9.852215880050516628e-01 -7.115560085135371748e-01 3.275575985672769530e-01
6.586751324590067735e-01 5.595000962578015880e-02 2.849036842937736069e-01 2.148902763293614187e-09 9.961074860474273818e-01 -9.885099507200629798e-01 3.595394954362294282e-01
