# h Omegab Omegam As ns w wa
6.159688617001563005e-01 6.044152178001693798e-02 2.985897085570325959e-01 2.207233277298840230e-09 9.436588303599329208e-01 -9.176645758626906790e-01 1.035350561298120642e-01
6.856972684009923213e-01 4.824951846255043364e-02 2.692393101074704309e-01 2.288490376936780476e-09 9.641692352744617445e-01 -1.103343156476618736e+00 2.657309466456136970e-02
6.410693634955190179e-01 5.038514358406809973e-02 2.380510436283228559e-01 2.403728629663652056e-09 9.762378863101692783e-01 -9.488270769140201288e-01 -2.832199586187333362e-01
6.911240456183206371e-01 4.903860045940731938e-02 3.997756658079710812e-01 1.809796406368552443e-09 9.855741324683677806e-01 -9.090287960871294981e-01 -5.024384804245548564e-01
6.586903927799977465e-01 4.868394633307546876e-02 2.988642371137564813e-01 2.169397080166251097e-09 9.267661399639760544e-01 -1.184465354014246241e+00 3.171661382607877666e-01
6.197252257633207861e-01 5.451248315798237071e-02 2.452850455974661670e-01 1.839759500263319413e-09 9.312155442746774536e-01 -1.112995800855349549e+00 -3.021974556491654473e-01
6.748565027302839692e-01 5.798207722569125033e-02 2.723695210027576863e-01 2.318449138616362878e-09 9.477615220668375029e-01 -9.937914842506541113e-01 -3.712857182141771073e-02
7.141127077052267236e-01 4.703295830044210840e-02 3.158031582782029334e-01 2.525813663407250989e-09 9.812834162717731790e-01 -6.934983507264392832e-01 -7.761862972736854882e-02
7.332764853935126448e-01 5.226786232374560498e-02 2.739504250072031799e-01 2.342543184811352445e-09 1.002053466508850521e+00 -7.384746955198083773e-01 -2.513706795857539866e-02
6.537223497642447034e-01 4.864082906539823892e-02 3.634739227477999934e-01 2.141021501449638757e-09 9.447869862037187039e-01 -1.199525142571209901e+00 2.537031914413909739e-01
7.125895958673482689e-01 5.616849172978376215e-02 3.859057413474168974e-01 2.098422131600553183e-09 9.416824132833013783e-01 -7.597238739844471844e-01 1.321611597770980806e-01
6.792091673554734310e-01 5.780570862760390366e-02 3.945662437916489518e-01 2.430830429285620791e-09 9.376720523771889804e-01 -1.051637976733175162e+00 2.745840449936673977e-01
6.823196435421593486e-01 5.876431103942222900e-02 2.625956625692331126e-01 2.511433437722503252e-09 9.160141881315174706e-01 -8.153453092328510898e-01 -5.245281896732402194e-01
6.774012360320732506e-01 5.845320954695486237e-02 3.992385584837785384e-01 1.933207427602195842e-09 9.834856594492061843e-01 -9.302955808115982439e-01 -2.417530536231120575e-01
7.358703399461069550e-01 5.460794962511775208e-02 3.203288158396054852e-01 1.968467749412877575e-09 9.433402294938022514e-01 -1.254167907148833416e+00 -1.223594877048250762e-01
7.292888230143701467e-01 4.256989363322419284e-02 2.541677548551402044e-01 1.801948548602370946e-09 9.387904463962988277e-01 -1.135723790638862640e+00 9.433407464037979473e-03
6.987629312931171732e-01 4.548897506769479515e-02 3.724971804699592770e-01 2.323461352673285379e-09 9.661381576228905699e-01 -7.766545278630450078e-01 1.364398287700449020e-01
7.310693315078510279e-01 3.978334904964289653e-02 2.492810039143411593e-01 2.233607738299470068e-09 9.787874807730733151e-01 -7.798035492467253471e-01 -6.065804602245803423e-01
6.962080067961552432e-01 5.964194134706300721e-02 3.091502231413983948e-01 1.965097622523100129e-09 9.723674678706007990e-01 -8.307478045547145307e-01 -5.799877783245991347e-01
